Host,IP,OS,DiskUsagePercent,MemoryUsagePercent,CPUUsagePercent,LoadAverage1m,InodeUsagePercent,UpdatesAvailable,RebootRequired,DiskIssue,MemoryIssue,CPUIssue,LoadIssue,InodeIssue,ServiceIssue,FailedServicesCount,FailedServicesIssue,UpdateIssue,RebootIssue,OverallStatus
amazon-target,172.31.32.215,Amazon 2023,22,19,0,0.03,2,False,False,False,False,False,False,False,False,0,False,False,False,Healthy
ubuntu-target,172.31.42.38,Ubuntu 26.04,45,38,0,0.07,16,False,False,False,False,False,False,False,False,0,False,False,False,Healthy
