Host,IP,OS,DiskUsagePercent,MemoryUsagePercent,LoadAverage1m,DiskIssue,MemoryIssue,LoadIssue,ServiceIssue,FailedServicesCount,FailedServicesIssue,OverallStatus
amazon-target,172.31.32.215,Amazon 2023,22,18,0.04,False,False,False,False,0,False,Healthy
ubuntu-target,172.31.42.38,Ubuntu 26.04,32,36,0.02,False,False,False,False,0,False,Healthy
